Franchise,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status
Cleveland Rebels,1946-47,1946-47,1,60,30,30,0.5,1,0.0,0,0,defunct
Denver Nuggets,1949-50,1949-50,1,62,11,51,0.177,0,0.0,0,0,defunct
Detroit Falcons,1946-47,1946-47,1,60,20,40,0.333,0,0.0,0,0,defunct
Indianapolis Jets,1948-49,1948-49,1,60,18,42,0.3,0,0.0,0,0,defunct
Indianapolis Olympians,1949-50,1952-53,4,269,132,137,0.491,4,1.0,0,0,defunct
Kentucky Colonels,1967-68,1975-76,9,744,448,296,0.602,9,2.0,0,1,defunct
Memphis Sounds,1974-75,1974-75,1,84,27,57,0.321,1,0.0,0,0,defunct
Memphis Tams,1972-73,1973-74,2,168,45,123,0.268,0,0.0,0,0,defunct
Memphis Pros,1970-71,1971-72,2,168,67,101,0.399,1,0.0,0,0,defunct
New Orleans Buccaneers,1967-68,1969-70,3,240,136,104,0.567,2,1.0,0,0,defunct
Pittsburgh Condors,1970-71,1971-72,2,168,61,107,0.363,0,0.0,0,0,defunct
Minnesota Pipers,1968-69,1968-69,1,78,36,42,0.462,1,0.0,0,0,defunct
Pittsburgh Pipers,1967-68,1969-70,2,162,83,79,0.512,1,1.0,0,1,defunct
Pittsburgh Ironmen,1946-47,1946-47,1,60,15,45,0.25,0,0.0,0,0,defunct
Providence Steamrollers,1946-47,1948-49,3,168,46,122,0.274,0,0.0,0,0,defunct
San Diego Sails,1975-76,1975-76,1,11,3,8,0.273,0,,0,0,defunct
San Diego Conquistadors,1972-73,1974-75,3,252,98,154,0.389,2,0.0,0,0,defunct
Sheboygan Red Skins,1949-50,1949-50,1,62,22,40,0.355,1,0.0,0,0,defunct
Spirits of St. Louis,1974-75,1975-76,2,168,67,101,0.399,1,0.0,0,0,defunct
Carolina Cougars,1969-70,1973-74,5,420,215,205,0.512,3,1.0,0,0,defunct
Houston Mavericks,1967-68,1968-69,2,156,52,104,0.333,1,0.0,0,0,defunct
St. Louis Bombers,1946-47,1949-50,4,237,122,115,0.515,3,1.0,0,0,defunct
The Floridians,1970-71,1971-72,2,168,73,95,0.435,2,0.0,0,0,defunct
Miami Floridians,1968-69,1969-70,2,162,66,96,0.407,1,0.0,0,0,defunct
Minnesota Muskies,1967-68,1967-68,1,78,50,28,0.641,1,0.0,0,0,defunct
Toronto Huskies,1946-47,1946-47,1,60,22,38,0.367,0,0.0,0,0,defunct
Utah Stars,1970-71,1975-76,6,436,265,171,0.608,5,3.0,0,1,defunct
Los Angeles Stars,1968-69,1969-70,2,162,76,86,0.469,1,0.0,0,0,defunct
Anaheim Amigos,1967-68,1967-68,1,78,25,53,0.321,0,0.0,0,0,defunct
Virginia Squires,1970-71,1975-76,6,503,200,303,0.398,4,1.0,0,0,defunct
Washington Capitols,1969-70,1969-70,1,84,44,40,0.524,1,0.0,0,0,defunct
Oakland Oaks,1967-68,1968-69,2,156,82,74,0.526,1,1.0,0,1,defunct
Washington Capitols,1946-47,1950-51,5,271,157,114,0.579,4,2.0,0,0,defunct
Waterloo Hawks,1949-50,1949-50,1,62,19,43,0.306,0,0.0,0,0,defunct
