player_id,player,num_seasons,first_seas,last_seas
174,Dick Holub,1,1948,1948
175,Dick O'Keefe,4,1948,1951
176,Elmer Gainer,2,1948,1950
177,Gene Rock,1,1948,1948
178,Gene Stump,3,1948,1950
179,Gene Vance,5,1948,1952
180,Herm Fuetsch,1,1948,1948
181,Herm Klotz,1,1948,1948
182,Jack Hewson,1,1948,1948
183,Jack Rocker,1,1948,1948
184,Jack Tingle,2,1948,1949
185,Jack Toomay,3,1948,1950
186,Johnny Ezersky,3,1948,1950
187,Johnny Jorgensen,2,1948,1949
188,Lee Robbins,2,1948,1949
189,Mel Thurston,1,1948,1948
190,Mike Bloom,2,1948,1949
191,Nat Hickey,1,1948,1948
192,Paul Hoffman,6,1948,1955
193,Paul Huston,1,1948,1948
194,Paul Noel,5,1948,1952
195,Paul Seymour,12,1948,1960
196,Ray Kuka,2,1948,1949
197,Red Rocha,9,1948,1957
198,Saul Mariaschin,1,1948,1948
199,Sid Tanenbaum,2,1948,1949
200,Stan Brown,2,1948,1952
201,Wat Misaka,1,1948,1948
202,Al Lucas,1,1949,1949
203,Andrew Levane,3,1949,1953
204,Andy Duncan,3,1949,1951
205,Andy Kostecka,1,1949,1949
206,Andy Tonkovich,1,1949,1949
207,Arnie Ferrin,3,1949,1951
208,Arnie Johnson,5,1949,1953
209,Arnie Risen,10,1949,1958
210,Bill Calhoun,7,1949,1955
211,Bill Henry,2,1949,1950
212,Bill Miller,1,1949,1949
213,Bill Roberts,2,1949,1950
214,Blackie Towery,2,1949,1950
215,Bob Brown,2,1949,1950
216,Bob Davies,7,1949,1955
217,Bob Kinney,2,1949,1950
218,Bob Tough,2,1949,1950
219,Bobby Wanzer,9,1949,1957
220,Brady Walker,1,1949,1949
221,Bruce Hale,3,1949,1951
222,Charlie Black,3,1949,1952
223,Curly Armstrong,3,1949,1951
224,D.C. Wilcutt,2,1949,1950
225,Dan Kraus,1,1949,1949
226,Darrel Brown,1,1949,1949
227,Dermie O'Connell,2,1949,1950
228,Dick Shrider,1,1949,1949
229,Dick Triptow,2,1949,1950
230,Dick Wehr,1,1949,1949
231,Dillard Crocker,4,1949,1953
232,Don Smith,1,1949,1949
233,Donnie Forman,1,1949,1949
234,Doug Holcomb,1,1949,1949
235,Earl Gardner,1,1949,1949
236,Easy Parham,3,1949,1951
237,Ed Mikan,6,1949,1954
238,Fran Curran,2,1949,1950
239,Fred Paine,1,1949,1949
240,Freddie Lewis,2,1949,1950
241,Fritz Nagy,1,1949,1949
242,Gale Bishop,1,1949,1949
243,Gene James,3,1949,1951
244,George Glamack,1,1949,1949
245,George Kaftan,5,1949,1953
246,George Mikan,7,1949,1956
247,Hal Tidrick,1,1949,1949
248,Harry Gallatin,10,1949,1958
249,Herb Krautblatt,1,1949,1949
250,Herm Schaefer,2,1949,1950
251,Howie Rader,1,1949,1949
252,Howie Shannon,2,1949,1950
253,Jack Dwan,1,1949,1949
254,Jack Eskridge,1,1949,1949
255,Jack Maddox,1,1949,1949
256,Jack Nichols,9,1949,1958
257,Jack Smiley,2,1949,1950
258,Jake Bornheimer,2,1949,1950
259,Jake Pelkington,1,1949,1949
260,Jim Browne,2,1949,1950
261,Jim Pollard,7,1949,1955
262,Jim Springer,1,1949,1949
263,Jim Spruill,1,1949,1949
264,Joe Colone,1,1949,1949
265,Joe Graboski,13,1949,1962
266,John Hazen,1,1949,1949
267,John Mandic,2,1949,1950
268,Johnny Bach,1,1949,1949
269,Kenny Rollins,3,1949,1953
270,Leo Katkaveck,2,1949,1950
271,Leo Klier,2,1949,1950
272,Les Pugh,2,1949,1950
273,Lionel Malamed,1,1949,1949
274,Lonnie Eggleston,1,1949,1949
275,Matt Zunic,1,1949,1949
276,Mel McGaha,1,1949,1949
277,Mike Novak,3,1949,1954
278,Odie Spears,8,1949,1957
279,Otto Schnellbacher,1,1949,1949
280,Paul Napolitano,1,1949,1949
281,Phil Farbman,1,1949,1949
282,Price Brookfield,2,1949,1950
283,Ralph Hamilton,1,1949,1949
284,Ray Ellefson,2,1949,1951
285,Ray Lumpp,5,1949,1953
286,Ray Ramsey,1,1949,1949
287,Red Holzman,6,1949,1954
288,Richie Niemiera,2,1949,1950
289,Roy Pugh,1,1949,1949
290,Tex Ritter,3,1949,1951
291,Tom Kelly,1,1949,1949
292,Walt Budko,4,1949,1952
293,Walt Kirk,3,1949,1952
294,Ward Williams,1,1949,1949
295,Whitey Kachan,1,1949,1949
296,Al Cervi,4,1950,1953
297,Al Guokas,1,1950,1950
298,Al Miksis,1,1950,1950
299,Alex Groza,2,1950,1951
300,Alex Hannum,8,1950,1957
301,Andy O'Donnell,1,1950,1950
302,Bill Closs,3,1950,1952
303,Bill Gabor,6,1950,1955
304,Bill Herman,1,1950,1950
305,Billy Hassett,2,1950,1951
306,Bob Brannum,5,1950,1955
307,Bob Carpenter,2,1950,1951
308,Bob Evans,1,1950,1950
309,Bob Harris,5,1950,1954
310,Bob Harrison,9,1950,1958
311,Bob Royer,1,1950,1950
312,Bob Wood,1,1950,1950
313,Bobby Cook,1,1950,1950
314,Brady Walker,3,1950,1952
315,Bud Grant,2,1950,1951
316,Carl Shaeffer,2,1950,1951
317,Charley Shipp,1,1950,1950
318,Charlie Parsley,1,1950,1950
319,Chips Sobek,1,1950,1950
320,Cliff Barker,3,1950,1952
321,Clint Wager,1,1950,1950
322,Dale Hamilton,1,1950,1950
323,Danny Wagner,1,1950,1950
324,Dee Gibson,1,1950,1950
325,Dick McGuire,11,1950,1960
326,Dick Mehen,3,1950,1952
327,Dike Eddleman,4,1950,1953
328,Dolph Schayes,15,1950,1964
329,Don Boven,3,1950,1953
330,Don Grate,1,1950,1950
331,Don Otten,4,1950,1953
332,Don Ray,1,1950,1950
333,Duane Klueh,2,1950,1951
334,Earl Dodd,1,1950,1950
335,Ed Bartels,2,1950,1951
336,Ed Leede,2,1950,1951
337,Ed Macauley,10,1950,1959
338,Ed Peterson,2,1950,1951
339,Ed Stanczak,2,1950,1951
340,Ernie Vandeweghe,6,1950,1956
341,Floyd Volker,1,1950,1950
342,Frank Gates,1,1950,1950
343,Frank Kudelka,4,1950,1953
344,Frankie Brian,7,1950,1956
345,Fred Schaus,5,1950,1954
346,Gene Berce,1,1950,1950
347,Gene Englund,1,1950,1950
348,Gene Ollrich,1,1950,1950
349,George Feigenbaum,2,1950,1953
350,George Ratkovicz,6,1950,1955
351,Glen Selbo,1,1950,1950
352,Harry Boykoff,2,1950,1951
353,Harry Donovan,1,1950,1950
354,Hook Dillon,1,1950,1950
355,Hoot Gibson,1,1950,1950
356,Howie Janotta,1,1950,1950
357,Howie Schultz,3,1950,1953
358,Jack Burmaster,1,1950,1950
359,Jack Coleman,9,1950,1958
360,Jack Cotton,1,1950,1950
361,Jack Kerris,4,1950,1953
362,Jack Parkinson,1,1950,1950
363,Jack Phelan,1,1950,1950
364,Jake Carter,1,1950,1950
365,Jerry Nagel,1,1950,1950
366,Jim Nolan,1,1950,1950
367,Jimmy Darden,1,1950,1950
368,Joe Bradley,1,1950,1950
369,Joe Dolhon,2,1950,1951
370,Joe Holland,3,1950,1952
371,Joe Mullaney,1,1950,1950
372,John Chaney,1,1950,1950
373,John Hargis,2,1950,1951
374,John Oldham,2,1950,1951
375,John Pritchard,1,1950,1950
376,Johnny Macknowski,2,1950,1951
377,Johnny Orr,1,1950,1950
378,Johnny Payak,2,1950,1953
379,Ken Menke,1,1950,1950
380,Leo Barnhorst,5,1950,1954
381,Leo Kubiak,1,1950,1950
382,Leroy Chollet,2,1950,1951
383,Mac Otten,1,1950,1950
384,Mal McMullen,2,1950,1951
385,Marshall Hawkins,1,1950,1950
386,Marv Schatzman,1,1950,1950
387,Matt Mazza,1,1950,1950
388,Max Morris,1,1950,1950
389,Mike Todorovich,2,1950,1951
390,Milo Komenich,1,1950,1950
391,Murray Mitchell,1,1950,1950
392,Murray Wier,1,1950,1950
393,Nelson Bobb,4,1950,1953
394,Normie Glick,1,1950,1950
395,Paul Cloyd,1,1950,1950
396,Paul Gordon,1,1950,1950
397,Paul Walther,6,1950,1955
398,Pep Saul,6,1950,1955
399,Ralph Beard,2,1950,1951
400,Ralph Johnson,4,1950,1953
401,Ray Corley,3,1950,1953
402,Red Owens,2,1950,1952
403,Robert Hahn,1,1950,1950
404,Rollie Seltz,1,1950,1950
405,Ron Livingstone,2,1950,1951
406,Slater Martin,11,1950,1960
407,Stan Patrick,1,1950,1950
408,Tony Lavelli,2,1950,1951
409,Vern Gardner,3,1950,1952
410,Vern Mikkelsen,10,1950,1959
411,Vince Boryla,5,1950,1954
412,Wah Wah Jones,3,1950,1952
413,Walt Lautenbach,1,1950,1950
414,Warren Perkins,2,1950,1951
415,Wayne See,1,1950,1950
416,Whitey Von Nieda,1,1950,1950
417,Alan Sawyer,1,1951,1951
418,Art Burris,2,1951,1952
419,Bill Sharman,11,1951,1961
420,Bob Cousy,14,1951,1970
421,Bob Donham,4,1951,1954
422,Bob Lavoy,4,1951,1954
423,Cal Christensen,5,1951,1955
424,Chuck Cooper,6,1951,1956
425,Chuck Mrazovich,1,1951,1951
426,Dick Schnittker,6,1951,1958
427,Don Lofgran,4,1951,1954
428,Don Rehfeldt,2,1951,1952
429,Earl Lloyd,9,1951,1960
430,Ed Beach,1,1951,1951
431,Ed Gayda,1,1951,1951
432,Gerry Calabrese,2,1951,1952
433,Hank DeZonie,1,1951,1951
434,Herb Scherer,2,1951,1952
435,Ike Borsavage,1,1951,1951
436,Jim Riffey,1,1951,1951
437,Joe Hutton,2,1951,1952
438,Joe McNamee,2,1951,1952
439,Ken Murray,3,1951,1955
440,Kevin O'Shea,3,1951,1953
441,Larry Foust,12,1951,1962
442,Leon Blevins,1,1951,1951
443,Nat Clifton,8,1951,1958
444,Norm Mager,1,1951,1951
445,Paul Arizin,10,1951,1962
446,Tommy O'Keefe,1,1951,1951
447,Alfred McGuire,4,1952,1955
448,Bill Tosheff,3,1952,1954
449,Bob Wilson,1,1952,1952
450,Chuck Share,9,1952,1960
451,Dave Minor,2,1952,1953
452,Dick Dickey,1,1952,1952
453,Don Barksdale,4,1952,1955
454,Don Savage,2,1952,1957
455,Ed Dahler,1,1952,1952
456,Elmer Behnke,1,1952,1952
457,George King,6,1952,1958
458,Jack Kiley,2,1952,1953
459,Jake Fendley,2,1952,1953
460,Jerry Fowler,1,1952,1952
461,Jim Slaughter,1,1952,1952
462,John McConathy,1,1952,1952
463,John Pilch,1,1952,1952
464,John Rennicke,1,1952,1952
465,Lew Hitch,6,1952,1957
466,Mel Hutchins,7,1952,1958
467,Mel Payton,2,1952,1953
468,Nate DeLong,1,1952,1952
469,Neil Johnston,8,1952,1959
470,Ralph O'Brien,2,1952,1953
471,Ray Ragelis,1,1952,1952
472,Sam Ranzino,1,1952,1952
473,Wally Osterkorn,4,1952,1955
474,Whitey Skoog,6,1952,1957
475,Zeke Sinicola,2,1952,1954
476,Al Masino,2,1953,1954
477,Bill Mlkvy,1,1953,1953
478,Blaine Denning,1,1953,1953
479,Bob Lochmueller,1,1953,1953
480,Bob Naber,1,1953,1953
481,Bob Priddy,1,1953,1953
482,Bucky McConnell,1,1953,1953
483,Claude Overton,1,1953,1953
484,Danny Finn,3,1953,1955
485,Dick Bunt,1,1953,1953
486,Dick Groat,1,1953,1953
487,Dick Surhoff,2,1953,1954
488,Don Hanrahan,1,1953,1953
489,Don Henriksen,2,1953,1955
490,Eddie Miller,2,1953,1954
491,Gene Conley,6,1953,1964
492,Gene Rhodes,1,1953,1953
493,George McLeod,1,1953,1953
494,Jack McCloskey,1,1953,1953
495,Jack McMahon,8,1953,1960
496,Jim Baechtold,5,1953,1957
497,Jim Brasco,1,1953,1953
498,Jim Holstein,4,1953,1956
499,Jim Mooney,1,1953,1953
500,John O'Boyle,1,1953,1953
501,Mark Workman,2,1953,1954
502,Mike O'Neill,1,1953,1953
503,Mo Mahoney,2,1953,1954
504,Moe Radovich,1,1953,1953
505,Monk Meineke,5,1953,1958
506,Pete Darcey,1,1953,1953
507,Ralph Polson,1,1953,1953
508,Sherwin Raiken,1,1953,1953
509,Zeke Zawoluk,3,1953,1955
510,Al Roges,2,1954,1955
511,Bato Govedarica,1,1954,1954
512,Bill Bolger,1,1954,1954
513,Billy Kenville,6,1954,1960
514,Bob Houbregs,5,1954,1958
515,Bob Peterson,3,1954,1956
516,Clyde Lovellette,11,1954,1964
517,Connie Rea,1,1954,1954
518,Dick Knostman,1,1954,1954
519,Don Ackerman,1,1954,1954
520,Don Asmonga,1,1954,1954
521,Don Sunderlage,2,1954,1955
522,Ed Earle,1,1954,1954
523,Ed Smith,1,1954,1954
524,Ernie Barrett,2,1954,1956
525,Ernie Beck,7,1954,1961
526,Frank Reddout,1,1954,1954
527,Gene Dyker,1,1954,1954
528,George Yardley,7,1954,1960
529,Hal Uplinger,1,1954,1954
530,Irv Bemoras,2,1954,1957
531,Isaac Walthour,1,1954,1954
532,Jack George,8,1954,1961
533,Jack Molinas,1,1954,1954
534,Jim Fritsche,2,1954,1955
535,Jim Luisi,1,1954,1954
536,Jim Neal,2,1954,1955
537,Jim Phelan,1,1954,1954
538,Joe Smyth,1,1954,1954
539,Norm Grekin,1,1954,1954
540,Norm Swanson,1,1954,1954
541,Paul Nolen,1,1954,1954
542,Ray Felix,9,1954,1962
543,Rollen Hans,2,1954,1955
544,Walt Davis,5,1954,1958
545,Art Spoelstra,4,1955,1958
546,Bert Cook,1,1955,1955
547,Bob Carney,1,1955,1955
548,Bob Knight,1,1955,1955
549,Bob Pettit,11,1955,1965
550,Bobby Watson,1,1955,1955
551,Boris Nachamkin,1,1955,1955
552,Carl McNulty,1,1955,1955
553,Chuck Grigsby,1,1955,1955
554,Dan King,1,1955,1955
