Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status
1991,Los Angeles Lakers,Chicago Bulls,1–4,Chicago Bulls,Los Angeles Lakers,M. Jordan,1.98,Guard,Chicago Bulls,Champion
1992,Portland Trail Blazers,Chicago Bulls,2–4,Chicago Bulls,Portland Trail Blazers,M. Jordan,1.98,Guard,Chicago Bulls,Champion
1993,Phoenix Suns,Chicago Bulls,2–4,Chicago Bulls,Phoenix Suns,C. Barkley,1.98,Forward,Phoenix Suns,Vice-Champion
1994,Houston Rockets,New York Knicks,4–3,Houston Rockets,New York Knicks,H. Olajuwon,2.13,Center,Houston Rockets,Champion
1995,Houston Rockets,Orlando Magic,4–0,Houston Rockets,Orlando Magic,D. Robinson,2.16,Center,San Antonio Spurs,Not reached Final
1996,Seattle SuperSonics,Chicago Bulls,2–4,Chicago Bulls,Seattle SuperSonics,M. Jordan,1.98,Guard,Chicago Bulls,Champion
1997,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,K. Malone,2.06,Forward,Utah Jazz,Vice-Champion
1998,Utah Jazz,Chicago Bulls,2–4,Chicago Bulls,Utah Jazz,M. Jordan,1.98,Guard,Chicago Bulls,Champion
1999,San Antonio Spurs,New York Knicks,4–1,San Antonio Spurs,New York Knicks,K. Malone,2.06,Forward,Utah Jazz,Not reached Final
2000,Los Angeles Lakers,Indiana Pacers,4–2,Los Angeles Lakers,Indiana Pacers,S. O'Neal,2.16,Center,Los Angeles Lakers,Champion
2001,Los Angeles Lakers,Philadelphia 76ers,4–1,Los Angeles Lakers,Philadelphia 76ers,A. Iverson,1.83,Guard,Philadelphia 76ers,Vice-Champion
2002,Los Angeles Lakers,New Jersey Nets,4–0,Los Angeles Lakers,New Jersey Nets,T. Duncan,2.11,Forward,San Antonio Spurs,Not reached Final
2003,San Antonio Spurs,New Jersey Nets,4–2,San Antonio Spurs,New Jersey Nets,T. Duncan,2.11,Forward,San Antonio Spurs,Champion
2004,Los Angeles Lakers,Detroit Pistons,1–4,Detroit Pistons,Los Angeles Lakers,K. Garnett,2.11,Forward,Minnesota Timberwolves,Not reached Final
2005,San Antonio Spurs,Detroit Pistons,4–3,San Antonio Spurs,Detroit Pistons,S. Nash,1.91,Guard,Phoenix Suns,Not reached Final
2006,Dallas Mavericks,Miami Heat,2–4,Miami Heat,Dallas Mavericks,S. Nash,1.91,Guard,Phoenix Suns,Not reached Final
2007,San Antonio Spurs,Cleveland Cavaliers,4–0,San Antonio Spurs,Cleveland Cavaliers,D. Nowitzki,2.13,Forward,Dallas Mavericks,Not reached Final
2008,Los Angeles Lakers,Boston Celtics,2–4,Boston Celtics,Los Angeles Lakers,K. Bryant,1.98,Guard,Los Angeles Lakers,Vice-Champion
2009,Los Angeles Lakers,Orlando Magic,4–1,Los Angeles Lakers,Orlando Magic,L. James,2.03,Forward,Cleveland Cavaliers,Not reached Final
2010,Los Angeles Lakers,Boston Celtics,4–3,Los Angeles Lakers,Boston Celtics,L. James,2.03,Forward,Cleveland Cavaliers,Not reached Final
2011,Dallas Mavericks,Miami Heat,4–2,Dallas Mavericks,Miami Heat,D. Rose,1.91,Guard,Chicago Bulls,Not reached Final
2012,Oklahoma City Thunder,Miami Heat,1–4,Miami Heat,Oklahoma City Thunder,L. James,2.03,Forward,Miami Heat,Champion
