Franchise,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Status,Year,Western Champion,Eastern Champion,Result,NBA Champion,NBA Vice-Champion,MVP Name,MVP Height (m),MVP Position,MVP Team,MVP status,player_id,player,num_seasons,first_seas,last_seas,season,team,age
,,,,,,,,,,,,,,,,,,,,,,,,1737.0,Alvin Scott,8.0,1978.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1738.0,Anthony Roberts,5.0,1978.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1739.0,Bayard Forrest,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1740.0,Ben Poquette,10.0,1978.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1741.0,Bernard King,14.0,1978.0,1993.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1742.0,Bo Ellis,3.0,1978.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1743.0,Bob Carrington,2.0,1978.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1744.0,Brad Davis,15.0,1978.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1745.0,Cedric Maxwell,11.0,1978.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1746.0,Charlie Criss,8.0,1978.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1747.0,Eddie Johnson,10.0,1978.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1748.0,Eddie Jordan,7.0,1978.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1749.0,Eddie Owens,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1750.0,Ernie Grunfeld,9.0,1978.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1751.0,Glen Gondrezick,6.0,1978.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1752.0,Glenn Mosley,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1753.0,Greg Ballard,11.0,1978.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1754.0,Greg Griffin,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1755.0,Jack Sikma,14.0,1978.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1756.0,Jacky Dorsey,3.0,1978.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1757.0,James Edwards,19.0,1978.0,1996.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1758.0,Jim Bostic,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1759.0,Joe Hassett,6.0,1978.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1760.0,John Kuester,3.0,1978.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1761.0,Kenny Carr,10.0,1978.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1762.0,Kent Benson,11.0,1978.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1763.0,Larry Johnson,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1764.0,Larry Moffett,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1765.0,Mark Crow,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1766.0,Mark Landsberger,7.0,1978.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1767.0,Marques Johnson,11.0,1978.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1768.0,Mike Bratz,9.0,1978.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1769.0,Mike Glenn,10.0,1978.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1770.0,Norm Nixon,10.0,1978.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1771.0,Otis Birdsong,12.0,1978.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1772.0,Phil Bond,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1773.0,Phil Walker,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1774.0,Ray Williams,10.0,1978.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1775.0,Rich Laurel,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1776.0,Rickey Green,14.0,1978.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1777.0,Ricky Marsh,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1778.0,Robert Reid,13.0,1978.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1779.0,Robert Smith,7.0,1978.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1780.0,Scott Sims,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1781.0,Steve Sheppard,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1782.0,T.R. Dunn,14.0,1978.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1783.0,Tate Armstrong,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1784.0,Toby Knight,4.0,1978.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1785.0,Tom LaGarde,6.0,1978.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1786.0,Tony Robertson,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1787.0,Tree Rollins,18.0,1978.0,1995.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1788.0,Walter Davis,15.0,1978.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1789.0,Wayman Britt,1.0,1978.0,1978.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1790.0,Wesley Cox,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1791.0,Wilson Washington,2.0,1978.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1792.0,Andre Wakefield,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1793.0,Billy McKinney,7.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1794.0,Bob Elliott,3.0,1979.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1795.0,Butch Lee,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1796.0,Clemon Johnson,10.0,1979.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1797.0,Dave Corzine,13.0,1979.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1798.0,Del Beshore,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1799.0,Dennis Boyd,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1800.0,Essie Hollis,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1801.0,Frankie Sanders,2.0,1979.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1802.0,Freeman Williams,6.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1803.0,Geoff Crompton,5.0,1979.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1804.0,George Johnson,8.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1805.0,Greg Bunch,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1806.0,Harry Davis,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1807.0,Jack Givens,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1808.0,Jackie Robinson,3.0,1979.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1809.0,James Hardy,4.0,1979.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1810.0,Jeff Judkins,5.0,1979.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1811.0,Jerome Whitehead,11.0,1979.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1812.0,Joel Kramer,5.0,1979.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1813.0,John Long,14.0,1979.0,1997.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1814.0,John Olive,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1815.0,John Rudd,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1816.0,Keith Herron,3.0,1979.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1817.0,Kenny Higgs,3.0,1979.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1818.0,Kim Anderson,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1819.0,Lars Hansen,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1820.0,Marlon Redmond,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1821.0,Marty Byrnes,4.0,1979.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1822.0,Maurice Cheeks,15.0,1979.0,1993.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1823.0,Michael Cooper,12.0,1979.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1824.0,Micheal Ray Richardson,8.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1825.0,Mike Mitchell,10.0,1979.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1826.0,Mychal Thompson,12.0,1979.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1827.0,Otis Howard,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1828.0,Phil Ford,7.0,1979.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1829.0,Purvis Short,12.0,1979.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1830.0,Ray Epps,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1831.0,Raymond Townsend,3.0,1979.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1832.0,Reggie Theus,13.0,1979.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1833.0,Rick Robey,8.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1834.0,Rick Wilson,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1835.0,Roger Phegley,6.0,1979.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1836.0,Ron Brewer,8.0,1979.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1837.0,Ron Carter,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1838.0,Sam Smith,2.0,1979.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1839.0,Stan Pietkiewicz,3.0,1979.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1840.0,Terry Tyler,11.0,1979.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1841.0,Tommie Green,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1842.0,Wayne Cooper,14.0,1979.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1843.0,Wayne Radford,1.0,1979.0,1979.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1844.0,Winford Boynes,3.0,1979.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1845.0,Abdul Jeelani,2.0,1980.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1846.0,Allen Leavell,10.0,1980.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1847.0,Arvid Kramer,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1848.0,Bernard Toone,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1849.0,Bill Cartwright,15.0,1980.0,1995.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1850.0,Billy Ray Bates,4.0,1980.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1851.0,Brad Holland,3.0,1980.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1852.0,Bubba Wilson,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1853.0,Calvin Natt,11.0,1980.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1854.0,Carl Kilpatrick,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1855.0,Cheese Johnson,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1856.0,Cliff Robinson,11.0,1980.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1857.0,Clint Richardson,8.0,1980.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1858.0,Dave Greenwood,12.0,1980.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1859.0,Duck Williams,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1860.0,Dudley Bradley,9.0,1980.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1861.0,Earl Evans,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1862.0,Gary Garland,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1863.0,Geoff Huston,8.0,1980.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1864.0,Gerald Henderson,13.0,1980.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1865.0,Greg Deane,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1866.0,Greg Kelser,6.0,1980.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1867.0,Hollis Copeland,2.0,1980.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1868.0,Irv Kiffin,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1869.0,James Bailey,9.0,1980.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1870.0,Jeff Cook,8.0,1980.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1871.0,Jim Paxson,11.0,1980.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1872.0,Jim Spanarkel,5.0,1980.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1873.0,John Coughran,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1874.0,Johnny High,4.0,1980.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1875.0,Larry Bird,13.0,1980.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1876.0,Larry Demic,3.0,1980.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1877.0,Lawrence Boston,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1878.0,Magic Johnson,13.0,1980.0,1996.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1879.0,Major Jones,6.0,1980.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1880.0,Mike Evans,9.0,1980.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1881.0,Ollie Mack,3.0,1980.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1882.0,Pat Cummings,12.0,1980.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1883.0,Paul Dawkins,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1884.0,Paul Mokeski,12.0,1980.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1885.0,Phil Hubbard,10.0,1980.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1886.0,Reggie King,6.0,1980.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1887.0,Roy Hamilton,2.0,1980.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1888.0,Sam Pellom,4.0,1980.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1889.0,Sidney Moncrief,11.0,1980.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1890.0,Sly Williams,7.0,1980.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1891.0,Steve Malovic,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1892.0,Sylvester Norris,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1893.0,Terry Crosby,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1894.0,Terry Duerod,4.0,1980.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1895.0,Tony Zeno,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1896.0,Vinnie Johnson,13.0,1980.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1897.0,Wiley Peck,1.0,1980.0,1980.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1898.0,Alan Hardy,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1899.0,Andrew Toney,8.0,1981.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1900.0,Art Collins,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1901.0,Bill Hanzlik,10.0,1981.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1902.0,Bill Laimbeer,14.0,1981.0,1994.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1903.0,Bill Mayfield,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1904.0,Billy Reid,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1905.0,Brett Vroman,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1906.0,Butch Carter,6.0,1981.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1907.0,Calvin Garrett,4.0,1981.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1908.0,Carl Nicks,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1909.0,Carlos Terry,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1910.0,Cedrick Hordges,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1911.0,Chad Kinch,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1912.0,Clarence Kea,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1913.0,Craig Shelton,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1914.0,Darrell Allums,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1915.0,Darrell Griffith,10.0,1981.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1916.0,Darwin Cook,8.0,1981.0,1989.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1917.0,Dave Britton,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1918.0,DeWayne Scales,3.0,1981.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1919.0,Dick Miller,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1920.0,Don Collins,6.0,1981.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1921.0,Earl Cureton,12.0,1981.0,1997.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1922.0,Edgar Jones,6.0,1981.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1923.0,Edmund Lawrence,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1924.0,Hawkeye Whitney,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1925.0,James Donaldson,14.0,1981.0,1995.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1926.0,James Ray,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1927.0,James Wilkes,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1928.0,Jawann Oldham,10.0,1981.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1929.0,Jeff Wilkins,6.0,1981.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1930.0,Jerry Sichting,10.0,1981.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1931.0,Joe Barry Carroll,10.0,1981.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1932.0,John Duren,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1933.0,John Stroud,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1934.0,Johnny Moore,9.0,1981.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1935.0,Keith McCord,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1936.0,Kelvin Ransey,6.0,1981.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1937.0,Kenny Natt,3.0,1981.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1938.0,Kevin McHale,13.0,1981.0,1993.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1939.0,Kiki Vandeweghe,13.0,1981.0,1993.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1940.0,Kyle Macy,7.0,1981.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1941.0,Larry Drew,10.0,1981.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1942.0,Larry Smith,13.0,1981.0,1993.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1943.0,Lee Johnson,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1944.0,Lewis Brown,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1945.0,Lorenzo Romar,5.0,1981.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1946.0,Louis Orr,8.0,1981.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1947.0,Lowes Moore,3.0,1981.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1948.0,Michael Brooks,6.0,1981.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1949.0,Michael Wiley,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1950.0,Mike Gminski,14.0,1981.0,1994.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1951.0,Mike Harper,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1952.0,Mike Niles,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1953.0,Mike O'Koren,8.0,1981.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1954.0,Mike Woodson,11.0,1981.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1955.0,Monti Davis,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1956.0,Myles Patrick,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1957.0,Norman Black,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1958.0,Ralph Drollinger,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1959.0,Reggie Carter,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1960.0,Reggie Johnson,4.0,1981.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1961.0,Rick Mahorn,18.0,1981.0,1999.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1962.0,Rickey Brown,5.0,1981.0,1985.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1963.0,Ronnie Lester,6.0,1981.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1964.0,Ronnie Valentine,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1965.0,Rory Sparrow,12.0,1981.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1966.0,Sam Worthen,2.0,1981.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1967.0,Tony Fuller,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1968.0,Tony Jackson,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1969.0,Tony Price,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1970.0,Wally Rank,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1971.0,Walter Jordan,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1972.0,Wayne Kreklow,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1973.0,Wayne Robinson,1.0,1981.0,1981.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1974.0,Wes Matthews,9.0,1981.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1975.0,Al Wood,6.0,1982.0,1987.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1976.0,Albert King,9.0,1982.0,1992.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1977.0,Alex Bradley,1.0,1982.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1978.0,Alton Lister,16.0,1982.0,1998.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1979.0,Bobby Cattage,2.0,1982.0,1986.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1980.0,Brad Branson,2.0,1982.0,1983.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1981.0,Buck Williams,17.0,1982.0,1998.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1982.0,Carl Bailey,1.0,1982.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1983.0,Charles Bradley,3.0,1982.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1984.0,Charles Davis,8.0,1982.0,1990.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1985.0,Clay Johnson,3.0,1982.0,1984.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1986.0,Craig Dykema,1.0,1982.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1987.0,Danny Ainge,14.0,1982.0,1995.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1988.0,Danny Schayes,18.0,1982.0,1999.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1989.0,Danny Vranes,7.0,1982.0,1988.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1990.0,Darnell Valentine,9.0,1982.0,1991.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1991.0,David Burns,1.0,1982.0,1982.0,,,
,,,,,,,,,,,,,,,,,,,,,,,,1992.0,Ed Rains,2.0,1982.0,1983.0,,,
