season,team,age
2002-01-01,Chicago Bulls,25.5
2002-01-01,Cleveland Cavaliers,26.0
2002-01-01,Dallas Mavericks,27.6
2002-01-01,Denver Nuggets,28.2
2002-01-01,Detroit Pistons,29.5
2002-01-01,Golden State Warriors,24.8
2002-01-01,Houston Rockets,25.9
2002-01-01,Indiana Pacers,26.1
2002-01-01,Los Angeles Clippers,24.4
2002-01-01,Los Angeles Lakers,27.9
2002-01-01,Memphis Grizzlies,25.5
2002-01-01,Miami Heat,30.1
2002-01-01,Milwaukee Bucks,28.9
2002-01-01,Minnesota Timberwolves,26.7
2002-01-01,New Jersey Nets,26.1
2002-01-01,New York Knicks,30.3
2002-01-01,Orlando Magic,28.0
2002-01-01,Philadelphia 76ers,29.0
2002-01-01,Phoenix Suns,26.5
2002-01-01,Portland Trail Blazers,29.0
2002-01-01,Sacramento Kings,27.0
2002-01-01,San Antonio Spurs,28.5
2002-01-01,Seattle SuperSonics,26.9
2002-01-01,Toronto Raptors,29.3
2002-01-01,Utah Jazz,29.9
2002-01-01,Washington Wizards,27.5
2002-01-01,League Average,27.4
2001-01-01,Atlanta Hawks,26.1
2001-01-01,Boston Celtics,25.9
2001-01-01,Charlotte Hornets,28.2
2001-01-01,Chicago Bulls,23.2
2001-01-01,Cleveland Cavaliers,26.9
2001-01-01,Dallas Mavericks,26.6
2001-01-01,Denver Nuggets,27.9
2001-01-01,Detroit Pistons,27.1
2001-01-01,Golden State Warriors,26.6
2001-01-01,Houston Rockets,26.7
2001-01-01,Indiana Pacers,27.7
2001-01-01,Los Angeles Clippers,24.3
2001-01-01,Los Angeles Lakers,29.2
2001-01-01,Miami Heat,30.9
2001-01-01,Milwaukee Bucks,28.2
2001-01-01,Minnesota Timberwolves,27.4
2001-01-01,New Jersey Nets,27.5
2001-01-01,New York Knicks,29.8
2001-01-01,Orlando Magic,26.0
2001-01-01,Philadelphia 76ers,28.2
2001-01-01,Phoenix Suns,28.6
2001-01-01,Portland Trail Blazers,30.1
2001-01-01,Sacramento Kings,27.1
2001-01-01,San Antonio Spurs,29.5
2001-01-01,Seattle SuperSonics,27.9
2001-01-01,Toronto Raptors,29.9
2001-01-01,Utah Jazz,32.0
2001-01-01,Vancouver Grizzlies,26.2
2001-01-01,Washington Wizards,27.0
2001-01-01,League Average,27.8
2000-01-01,Atlanta Hawks,27.6
2000-01-01,Boston Celtics,25.4
2000-01-01,Charlotte Hornets,28.7
2000-01-01,Chicago Bulls,26.0
2000-01-01,Cleveland Cavaliers,27.2
2000-01-01,Dallas Mavericks,26.3
2000-01-01,Denver Nuggets,25.9
2000-01-01,Detroit Pistons,28.3
2000-01-01,Golden State Warriors,26.9
2000-01-01,Houston Rockets,26.3
2000-01-01,Indiana Pacers,30.4
2000-01-01,Los Angeles Clippers,24.2
2000-01-01,Los Angeles Lakers,29.2
2000-01-01,Miami Heat,29.2
2000-01-01,Milwaukee Bucks,28.2
2000-01-01,Minnesota Timberwolves,26.6
2000-01-01,New Jersey Nets,27.3
2000-01-01,New York Knicks,29.5
2000-01-01,Orlando Magic,26.3
2000-01-01,Philadelphia 76ers,27.1
2000-01-01,Phoenix Suns,28.6
2000-01-01,Portland Trail Blazers,29.6
2000-01-01,Sacramento Kings,27.5
2000-01-01,San Antonio Spurs,30.9
2000-01-01,Seattle SuperSonics,28.5
2000-01-01,Toronto Raptors,29.3
2000-01-01,Utah Jazz,31.5
2000-01-01,Vancouver Grizzlies,25.3
2000-01-01,Washington Wizards,28.0
2000-01-01,League Average,27.8
1999-01-01,Atlanta Hawks,29.6
1999-01-01,Boston Celtics,24.3
1999-01-01,Charlotte Hornets,29.0
1999-01-01,Chicago Bulls,28.6
1999-01-01,Cleveland Cavaliers,26.7
1999-01-01,Dallas Mavericks,26.1
1999-01-01,Denver Nuggets,24.6
1999-01-01,Detroit Pistons,27.7
1999-01-01,Golden State Warriors,28.1
1999-01-01,Houston Rockets,29.6
1999-01-01,Indiana Pacers,30.8
1999-01-01,Los Angeles Clippers,25.0
1999-01-01,Los Angeles Lakers,27.5
1999-01-01,Miami Heat,30.3
1999-01-01,Milwaukee Bucks,28.3
1999-01-01,Minnesota Timberwolves,27.2
1999-01-01,New Jersey Nets,26.0
1999-01-01,New York Knicks,29.0
1999-01-01,Orlando Magic,28.7
1999-01-01,Philadelphia 76ers,26.0
1999-01-01,Phoenix Suns,29.3
1999-01-01,Portland Trail Blazers,27.4
1999-01-01,Sacramento Kings,26.1
1999-01-01,San Antonio Spurs,30.1
1999-01-01,Seattle SuperSonics,31.2
1999-01-01,Toronto Raptors,27.3
1999-01-01,Utah Jazz,30.3
1999-01-01,Vancouver Grizzlies,25.0
1999-01-01,Washington Wizards,29.3
1999-01-01,League Average,27.8
1998-01-01,Atlanta Hawks,29.4
1998-01-01,Boston Celtics,23.9
1998-01-01,Charlotte Hornets,29.2
1998-01-01,Chicago Bulls,31.7
1998-01-01,Cleveland Cavaliers,24.6
1998-01-01,Dallas Mavericks,26.3
1998-01-01,Denver Nuggets,26.5
1998-01-01,Detroit Pistons,27.2
1998-01-01,Golden State Warriors,25.9
1998-01-01,Houston Rockets,32.0
1998-01-01,Indiana Pacers,29.7
1998-01-01,Los Angeles Clippers,25.7
1998-01-01,Los Angeles Lakers,25.8
1998-01-01,Miami Heat,28.1
1998-01-01,Milwaukee Bucks,27.6
1998-01-01,Minnesota Timberwolves,26.4
1998-01-01,New Jersey Nets,27.8
1998-01-01,New York Knicks,30.2
1998-01-01,Orlando Magic,30.8
1998-01-01,Philadelphia 76ers,25.4
1998-01-01,Phoenix Suns,28.2
1998-01-01,Portland Trail Blazers,26.1
1998-01-01,Sacramento Kings,26.6
1998-01-01,San Antonio Spurs,28.7
1998-01-01,Seattle SuperSonics,31.1
1998-01-01,Toronto Raptors,24.8
1998-01-01,Utah Jazz,29.7
1998-01-01,Vancouver Grizzlies,26.5
1998-01-01,Washington Wizards,26.7
1998-01-01,League Average,27.6
1997-01-01,Atlanta Hawks,28.8
1997-01-01,Boston Celtics,26.1
1997-01-01,Charlotte Hornets,29.1
1997-01-01,Chicago Bulls,30.7
1997-01-01,Cleveland Cavaliers,26.7
1997-01-01,Dallas Mavericks,27.1
1997-01-01,Denver Nuggets,28.6
1997-01-01,Detroit Pistons,28.2
1997-01-01,Golden State Warriors,26.7
1997-01-01,Houston Rockets,30.8
1997-01-01,Indiana Pacers,27.9
1997-01-01,Los Angeles Clippers,25.5
1997-01-01,Los Angeles Lakers,26.5
1997-01-01,Miami Heat,27.2
1997-01-01,Milwaukee Bucks,27.3
1997-01-01,Minnesota Timberwolves,26.3
1997-01-01,New Jersey Nets,26.8
1997-01-01,New York Knicks,29.7
1997-01-01,Orlando Magic,29.4
1997-01-01,Philadelphia 76ers,25.5
1997-01-01,Phoenix Suns,28.5
1997-01-01,Portland Trail Blazers,26.4
1997-01-01,Sacramento Kings,27.4
1997-01-01,San Antonio Spurs,29.9
1997-01-01,Seattle SuperSonics,30.0
1997-01-01,Toronto Raptors,25.1
1997-01-01,Utah Jazz,29.6
1997-01-01,Vancouver Grizzlies,25.0
1997-01-01,Washington Bullets,25.9
1997-01-01,League Average,27.6
1996-01-01,Atlanta Hawks,28.1
1996-01-01,Boston Celtics,26.3
1996-01-01,Charlotte Hornets,27.8
1996-01-01,Chicago Bulls,29.9
1996-01-01,Cleveland Cavaliers,27.5
1996-01-01,Dallas Mavericks,25.1
1996-01-01,Denver Nuggets,26.8
1996-01-01,Detroit Pistons,26.8
1996-01-01,Golden State Warriors,27.0
1996-01-01,Houston Rockets,29.0
1996-01-01,Indiana Pacers,29.4
1996-01-01,Los Angeles Clippers,25.2
1996-01-01,Los Angeles Lakers,27.1
1996-01-01,Miami Heat,27.4
1996-01-01,Milwaukee Bucks,27.5
1996-01-01,Minnesota Timberwolves,26.4
1996-01-01,New Jersey Nets,27.4
1996-01-01,New York Knicks,30.4
1996-01-01,Orlando Magic,27.7
1996-01-01,Philadelphia 76ers,26.1
1996-01-01,Phoenix Suns,27.9
1996-01-01,Portland Trail Blazers,28.1
1996-01-01,Sacramento Kings,26.6
1996-01-01,San Antonio Spurs,29.4
1996-01-01,Seattle SuperSonics,29.6
1996-01-01,Toronto Raptors,26.1
1996-01-01,Utah Jazz,29.5
1996-01-01,Vancouver Grizzlies,27.2
1996-01-01,Washington Bullets,24.8
1996-01-01,League Average,27.6
1995-01-01,Atlanta Hawks,28.2
1995-01-01,Boston Celtics,27.2
1995-01-01,Charlotte Hornets,28.0
1995-01-01,Chicago Bulls,28.1
1995-01-01,Cleveland Cavaliers,28.3
1995-01-01,Dallas Mavericks,24.3
1995-01-01,Denver Nuggets,26.6
1995-01-01,Detroit Pistons,26.9
1995-01-01,Golden State Warriors,26.0
1995-01-01,Houston Rockets,28.5
1995-01-01,Indiana Pacers,28.7
1995-01-01,Los Angeles Clippers,24.9
1995-01-01,Los Angeles Lakers,25.9
1995-01-01,Miami Heat,27.1
1995-01-01,Milwaukee Bucks,25.7
1995-01-01,Minnesota Timberwolves,25.4
1995-01-01,New Jersey Nets,27.5
1995-01-01,New York Knicks,29.4
1995-01-01,Orlando Magic,26.6
1995-01-01,Philadelphia 76ers,25.1
1995-01-01,Phoenix Suns,29.2
1995-01-01,Portland Trail Blazers,29.3
1995-01-01,Sacramento Kings,26.4
1995-01-01,San Antonio Spurs,29.0
1995-01-01,Seattle SuperSonics,28.7
1995-01-01,Utah Jazz,29.6
1995-01-01,Washington Bullets,24.5
1995-01-01,League Average,27.2
1994-01-01,Atlanta Hawks,28.7
1994-01-01,Boston Celtics,27.8
1994-01-01,Charlotte Hornets,27.6
1994-01-01,Chicago Bulls,27.7
1994-01-01,Cleveland Cavaliers,27.9
1994-01-01,Dallas Mavericks,25.3
1994-01-01,Denver Nuggets,24.8
1994-01-01,Detroit Pistons,27.5
1994-01-01,Golden State Warriors,25.0
1994-01-01,Houston Rockets,28.1
1994-01-01,Indiana Pacers,27.2
1994-01-01,Los Angeles Clippers,27.0
1994-01-01,Los Angeles Lakers,26.5
1994-01-01,Miami Heat,26.0
1994-01-01,Milwaukee Bucks,26.1
1994-01-01,Minnesota Timberwolves,26.2
1994-01-01,New Jersey Nets,26.6
1994-01-01,New York Knicks,28.9
1994-01-01,Orlando Magic,25.8
1994-01-01,Philadelphia 76ers,27.2
1994-01-01,Phoenix Suns,28.7
1994-01-01,Portland Trail Blazers,28.6
1994-01-01,Sacramento Kings,26.7
1994-01-01,San Antonio Spurs,29.0
1994-01-01,Seattle SuperSonics,28.1
1994-01-01,Utah Jazz,29.4
1994-01-01,Washington Bullets,25.8
1994-01-01,League Average,27.3
1993-01-01,Atlanta Hawks,27.1
1993-01-01,Boston Celtics,28.6
1993-01-01,Charlotte Hornets,25.7
1993-01-01,Chicago Bulls,28.1
1993-01-01,Cleveland Cavaliers,28.8
1993-01-01,Dallas Mavericks,24.9
1993-01-01,Denver Nuggets,24.8
1993-01-01,Detroit Pistons,29.9
1993-01-01,Golden State Warriors,25.0
1993-01-01,Houston Rockets,27.4
1993-01-01,Indiana Pacers,26.8
1993-01-01,Los Angeles Clippers,26.7
1993-01-01,Los Angeles Lakers,28.0
1993-01-01,Miami Heat,25.2
1993-01-01,Milwaukee Bucks,26.9
1993-01-01,Minnesota Timberwolves,25.8
1993-01-01,New Jersey Nets,27.3
1993-01-01,New York Knicks,28.3
1993-01-01,Orlando Magic,25.8
1993-01-01,Philadelphia 76ers,27.1
1993-01-01,Phoenix Suns,28.2
1993-01-01,Portland Trail Blazers,28.2
1993-01-01,Sacramento Kings,26.5
1993-01-01,San Antonio Spurs,27.5
1993-01-01,Seattle SuperSonics,27.7
1993-01-01,Utah Jazz,29.3
1993-01-01,Washington Bullets,26.1
1993-01-01,League Average,27.1
1992-01-01,Atlanta Hawks,27.2
1992-01-01,Boston Celtics,29.2
1992-01-01,Charlotte Hornets,25.2
1992-01-01,Chicago Bulls,27.6
1992-01-01,Cleveland Cavaliers,27.6
1992-01-01,Dallas Mavericks,28.2
1992-01-01,Denver Nuggets,25.7
1992-01-01,Detroit Pistons,30.1
1992-01-01,Golden State Warriors,25.5
1992-01-01,Houston Rockets,28.0
1992-01-01,Indiana Pacers,26.4
1992-01-01,Los Angeles Clippers,27.3
1992-01-01,Los Angeles Lakers,28.3
1992-01-01,Miami Heat,24.4
1992-01-01,Milwaukee Bucks,30.2
1992-01-01,Minnesota Timberwolves,26.4
1992-01-01,New Jersey Nets,25.6
1992-01-01,New York Knicks,27.3
1992-01-01,Orlando Magic,26.6
1992-01-01,Philadelphia 76ers,27.6
1992-01-01,Phoenix Suns,27.0
1992-01-01,Portland Trail Blazers,28.1
1992-01-01,Sacramento Kings,25.1
1992-01-01,San Antonio Spurs,27.3
1992-01-01,Seattle SuperSonics,27.3
1992-01-01,Utah Jazz,28.5
1992-01-01,Washington Bullets,26.1
1992-01-01,League Average,27.2
1991-01-01,Atlanta Hawks,29.0
1991-01-01,Boston Celtics,28.2
1991-01-01,Charlotte Hornets,25.5
1991-01-01,Chicago Bulls,26.9
1991-01-01,Cleveland Cavaliers,26.8
1991-01-01,Dallas Mavericks,30.6
1991-01-01,Denver Nuggets,26.5
1991-01-01,Detroit Pistons,30.5
1991-01-01,Golden State Warriors,26.5
1991-01-01,Houston Rockets,27.3
1991-01-01,Indiana Pacers,26.4
1991-01-01,Los Angeles Clippers,25.1
1991-01-01,Los Angeles Lakers,28.4
1991-01-01,Miami Heat,24.0
1991-01-01,Milwaukee Bucks,29.3
1991-01-01,Minnesota Timberwolves,26.2
1991-01-01,New Jersey Nets,26.2
1991-01-01,New York Knicks,28.1
1991-01-01,Orlando Magic,26.1
1991-01-01,Philadelphia 76ers,28.4
1991-01-01,Phoenix Suns,26.9
1991-01-01,Portland Trail Blazers,27.9
1991-01-01,Sacramento Kings,25.9
1991-01-01,San Antonio Spurs,26.0
1991-01-01,Seattle SuperSonics,26.2
1991-01-01,Utah Jazz,28.7
1991-01-01,Washington Bullets,26.5
1991-01-01,League Average,27.2
1990-01-01,Atlanta Hawks,28.6
1990-01-01,Boston Celtics,30.2
1990-01-01,Charlotte Hornets,25.6
1990-01-01,Chicago Bulls,26.1
1990-01-01,Cleveland Cavaliers,26.1
1990-01-01,Dallas Mavericks,29.2
1990-01-01,Denver Nuggets,29.5
1990-01-01,Detroit Pistons,29.5
1990-01-01,Golden State Warriors,26.0
1990-01-01,Houston Rockets,27.9
1990-01-01,Indiana Pacers,26.4
1990-01-01,Los Angeles Clippers,24.5
1990-01-01,Los Angeles Lakers,28.9
1990-01-01,Miami Heat,24.7
1990-01-01,Milwaukee Bucks,28.1
1990-01-01,Minnesota Timberwolves,26.2
1990-01-01,New Jersey Nets,26.6
1990-01-01,New York Knicks,26.5
1990-01-01,Orlando Magic,26.5
1990-01-01,Philadelphia 76ers,27.4
1990-01-01,Phoenix Suns,26.7
1990-01-01,Portland Trail Blazers,26.7
1990-01-01,Sacramento Kings,26.4
1990-01-01,San Antonio Spurs,26.4
1990-01-01,Seattle SuperSonics,25.6
1990-01-01,Utah Jazz,27.6
1990-01-01,Washington Bullets,27.5
1990-01-01,League Average,27.1
1989-01-01,Atlanta Hawks,28.5
1989-01-01,Boston Celtics,28.5
1989-01-01,Charlotte Hornets,27.2
1989-01-01,Chicago Bulls,26.4
1989-01-01,Cleveland Cavaliers,26.1
1989-01-01,Dallas Mavericks,28.6
1989-01-01,Denver Nuggets,29.8
1989-01-01,Detroit Pistons,28.7
1989-01-01,Golden State Warriors,26.0
1989-01-01,Houston Rockets,26.8
1989-01-01,Indiana Pacers,25.2
1989-01-01,Los Angeles Clippers,24.6
1989-01-01,Los Angeles Lakers,29.5
1989-01-01,Miami Heat,25.2
1989-01-01,Milwaukee Bucks,28.5
1989-01-01,New Jersey Nets,26.8
1989-01-01,New York Knicks,25.3
1989-01-01,Philadelphia 76ers,27.0
1989-01-01,Phoenix Suns,25.7
1989-01-01,Portland Trail Blazers,26.9
1989-01-01,Sacramento Kings,25.2
1989-01-01,San Antonio Spurs,25.6
1989-01-01,Seattle SuperSonics,26.3
1989-01-01,Utah Jazz,27.4
1989-01-01,Washington Bullets,26.2
1989-01-01,League Average,27.0
1988-01-01,Atlanta Hawks,26.8
1988-01-01,Boston Celtics,29.8
1988-01-01,Chicago Bulls,25.5
1988-01-01,Cleveland Cavaliers,24.6
1988-01-01,Dallas Mavericks,27.0
1988-01-01,Denver Nuggets,28.7
1988-01-01,Detroit Pistons,27.5
1988-01-01,Golden State Warriors,25.4
1988-01-01,Houston Rockets,27.7
1988-01-01,Indiana Pacers,25.7
1988-01-01,Los Angeles Clippers,26.2
1988-01-01,Los Angeles Lakers,28.9
1988-01-01,Milwaukee Bucks,28.6
1988-01-01,New Jersey Nets,26.7
1988-01-01,New York Knicks,25.3
1988-01-01,Philadelphia 76ers,27.2
1988-01-01,Phoenix Suns,27.5
1988-01-01,Portland Trail Blazers,27.1
1988-01-01,Sacramento Kings,26.1
1988-01-01,San Antonio Spurs,26.2
1988-01-01,Seattle SuperSonics,25.6
1988-01-01,Utah Jazz,27.3
1988-01-01,Washington Bullets,26.6
1988-01-01,League Average,26.8
1987-01-01,Atlanta Hawks,26.1
1987-01-01,Boston Celtics,29.4
1987-01-01,Chicago Bulls,25.4
1987-01-01,Cleveland Cavaliers,24.6
1987-01-01,Dallas Mavericks,26.4
1987-01-01,Denver Nuggets,28.2
1987-01-01,Detroit Pistons,26.8
1987-01-01,Golden State Warriors,26.9
1987-01-01,Houston Rockets,26.1
1987-01-01,Indiana Pacers,25.9
1987-01-01,Los Angeles Clippers,26.2
1987-01-01,Los Angeles Lakers,27.8
1987-01-01,Milwaukee Bucks,27.7
1987-01-01,New Jersey Nets,26.2
1987-01-01,New York Knicks,26.4
1987-01-01,Philadelphia 76ers,26.6
1987-01-01,Phoenix Suns,26.0
1987-01-01,Portland Trail Blazers,26.9
1987-01-01,Sacramento Kings,26.3
1987-01-01,San Antonio Spurs,27.1
1987-01-01,Seattle SuperSonics,26.1
1987-01-01,Utah Jazz,26.9
1987-01-01,Washington Bullets,25.9
1987-01-01,League Average,26.6
1986-01-01,Atlanta Hawks,25.3
1986-01-01,Boston Celtics,29.3
1986-01-01,Chicago Bulls,26.6
1986-01-01,Cleveland Cavaliers,27.0
1986-01-01,Dallas Mavericks,25.8
1986-01-01,Denver Nuggets,28.1
1986-01-01,Detroit Pistons,26.5
1986-01-01,Golden State Warriors,26.8
1986-01-01,Houston Rockets,26.0
1986-01-01,Indiana Pacers,25.0
1986-01-01,Los Angeles Clippers,27.0
1986-01-01,Los Angeles Lakers,28.1
1986-01-01,Milwaukee Bucks,26.0
1986-01-01,New Jersey Nets,27.5
1986-01-01,New York Knicks,25.5
1986-01-01,Philadelphia 76ers,28.0
1986-01-01,Phoenix Suns,26.3
1986-01-01,Portland Trail Blazers,26.6
1986-01-01,Sacramento Kings,26.6
1986-01-01,San Antonio Spurs,27.8
1986-01-01,Seattle SuperSonics,26.6
1986-01-01,Utah Jazz,26.3
1986-01-01,Washington Bullets,27.1
1986-01-01,League Average,26.8
1985-01-01,Atlanta Hawks,25.5
1985-01-01,Boston Celtics,28.5
1985-01-01,Chicago Bulls,25.2
1985-01-01,Cleveland Cavaliers,26.6
1985-01-01,Dallas Mavericks,25.0
1985-01-01,Denver Nuggets,28.3
1985-01-01,Detroit Pistons,26.9
1985-01-01,Golden State Warriors,26.1
1985-01-01,Houston Rockets,25.3
1985-01-01,Indiana Pacers,24.1
1985-01-01,Kansas City Kings,26.1
1985-01-01,Los Angeles Clippers,27.3
1985-01-01,Los Angeles Lakers,27.4
1985-01-01,Milwaukee Bucks,25.7
1985-01-01,New Jersey Nets,26.5
1985-01-01,New York Knicks,25.8
1985-01-01,Philadelphia 76ers,27.9
1985-01-01,Phoenix Suns,26.4
1985-01-01,Portland Trail Blazers,25.2
1985-01-01,San Antonio Spurs,28.1
1985-01-01,Seattle SuperSonics,26.4
1985-01-01,Utah Jazz,27.0
1985-01-01,Washington Bullets,27.1
1985-01-01,League Average,26.4
1984-01-01,Atlanta Hawks,26.6
1984-01-01,Boston Celtics,28.0
1984-01-01,Chicago Bulls,24.4
1984-01-01,Cleveland Cavaliers,25.4
1984-01-01,Dallas Mavericks,24.7
1984-01-01,Denver Nuggets,27.0
1984-01-01,Detroit Pistons,25.4
1984-01-01,Golden State Warriors,25.6
1984-01-01,Houston Rockets,26.8
1984-01-01,Indiana Pacers,24.4
1984-01-01,Kansas City Kings,26.2
1984-01-01,Los Angeles Lakers,27.5
1984-01-01,Milwaukee Bucks,28.4
1984-01-01,New Jersey Nets,25.5
1984-01-01,New York Knicks,27.2
1984-01-01,Philadelphia 76ers,27.7
1984-01-01,Phoenix Suns,27.2
1984-01-01,Portland Trail Blazers,25.8
1984-01-01,San Antonio Spurs,27.4
1984-01-01,San Diego Clippers,25.5
1984-01-01,Seattle SuperSonics,27.1
1984-01-01,Utah Jazz,26.9
1984-01-01,Washington Bullets,26.2
1984-01-01,League Average,26.4
1983-01-01,Atlanta Hawks,26.6
1983-01-01,Boston Celtics,27.3
1983-01-01,Chicago Bulls,24.5
1983-01-01,Cleveland Cavaliers,26.4
1983-01-01,Dallas Mavericks,24.2
1983-01-01,Denver Nuggets,27.2
1983-01-01,Detroit Pistons,24.6
1983-01-01,Golden State Warriors,24.7
1983-01-01,Houston Rockets,29.0
1983-01-01,Indiana Pacers,24.9
1983-01-01,Kansas City Kings,24.5
1983-01-01,Los Angeles Lakers,26.9
1983-01-01,Milwaukee Bucks,28.1
1983-01-01,New Jersey Nets,25.2
1983-01-01,New York Knicks,26.5
1983-01-01,Philadelphia 76ers,26.7
1983-01-01,Phoenix Suns,26.6
1983-01-01,Portland Trail Blazers,25.5
1983-01-01,San Antonio Spurs,27.2
1983-01-01,San Diego Clippers,24.8
1983-01-01,Seattle SuperSonics,27.4
1983-01-01,Utah Jazz,25.8
1983-01-01,Washington Bullets,25.8
1983-01-01,League Average,26.2
1982-01-01,Atlanta Hawks,26.5
1982-01-01,Boston Celtics,27.3
1982-01-01,Chicago Bulls,26.5
1982-01-01,Cleveland Cavaliers,26.1
1982-01-01,Dallas Mavericks,24.4
1982-01-01,Denver Nuggets,27.0
1982-01-01,Detroit Pistons,24.4
1982-01-01,Golden State Warriors,25.1
1982-01-01,Houston Rockets,28.3
1982-01-01,Indiana Pacers,27.0
1982-01-01,Kansas City Kings,24.0
1982-01-01,Los Angeles Lakers,26.8
1982-01-01,Milwaukee Bucks,27.3
1982-01-01,New Jersey Nets,25.1
1982-01-01,New York Knicks,28.0
1982-01-01,Philadelphia 76ers,28.1
1982-01-01,Phoenix Suns,26.4
1982-01-01,Portland Trail Blazers,24.7
1982-01-01,San Antonio Spurs,26.1
1982-01-01,San Diego Clippers,25.4
1982-01-01,Seattle SuperSonics,26.4
1982-01-01,Utah Jazz,24.9
1982-01-01,Washington Bullets,26.0
1982-01-01,League Average,26.1
1981-01-01,Atlanta Hawks,26.8
1981-01-01,Boston Celtics,27.0
1981-01-01,Chicago Bulls,26.5
1981-01-01,Cleveland Cavaliers,25.7
1981-01-01,Dallas Mavericks,24.8
1981-01-01,Denver Nuggets,26.8
1981-01-01,Detroit Pistons,24.3
1981-01-01,Golden State Warriors,24.4
1981-01-01,Houston Rockets,26.8
1981-01-01,Indiana Pacers,26.0
1981-01-01,Kansas City Kings,26.2
1981-01-01,Los Angeles Lakers,27.0
1981-01-01,Milwaukee Bucks,26.6
1981-01-01,New Jersey Nets,25.2
1981-01-01,New York Knicks,25.1
1981-01-01,Philadelphia 76ers,27.2
1981-01-01,Phoenix Suns,25.7
1981-01-01,Portland Trail Blazers,25.7
1981-01-01,San Antonio Spurs,26.7
1981-01-01,San Diego Clippers,27.6
1981-01-01,Seattle SuperSonics,26.8
1981-01-01,Utah Jazz,25.3
1981-01-01,Washington Bullets,28.6
1981-01-01,League Average,26.2
1980-01-01,Atlanta Hawks,26.1
1980-01-01,Boston Celtics,27.3
1980-01-01,Chicago Bulls,25.9
1980-01-01,Cleveland Cavaliers,27.4
1980-01-01,Denver Nuggets,27.1
1980-01-01,Detroit Pistons,24.7
1980-01-01,Golden State Warriors,26.3
1980-01-01,Houston Rockets,27.3
1980-01-01,Indiana Pacers,25.3
1980-01-01,Kansas City Kings,25.5
1980-01-01,Los Angeles Lakers,26.2
1980-01-01,Milwaukee Bucks,25.3
1980-01-01,New Jersey Nets,26.1
1980-01-01,New York Knicks,24.1
1980-01-01,Philadelphia 76ers,27.0
1980-01-01,Phoenix Suns,26.5
1980-01-01,Portland Trail Blazers,26.3
1980-01-01,San Antonio Spurs,26.9
1980-01-01,San Diego Clippers,27.6
1980-01-01,Seattle SuperSonics,27.0
1980-01-01,Utah Jazz,26.1
1980-01-01,Washington Bullets,29.0
1980-01-01,League Average,26.5
1979-01-01,Atlanta Hawks,24.6
1979-01-01,Boston Celtics,27.5
1979-01-01,Chicago Bulls,26.2
1979-01-01,Cleveland Cavaliers,27.3
1979-01-01,Denver Nuggets,26.2
1979-01-01,Detroit Pistons,25.4
1979-01-01,Golden State Warriors,25.2
1979-01-01,Houston Rockets,27.6
1979-01-01,Indiana Pacers,25.0
1979-01-01,Kansas City Kings,25.7
1979-01-01,Los Angeles Lakers,27.2
1979-01-01,Milwaukee Bucks,24.8
1979-01-01,New Jersey Nets,25.7
1979-01-01,New Orleans Jazz,26.7
1979-01-01,New York Knicks,25.7
1979-01-01,Philadelphia 76ers,26.4
1979-01-01,Phoenix Suns,25.5
1979-01-01,Portland Trail Blazers,25.6
1979-01-01,San Antonio Spurs,27.3
1979-01-01,San Diego Clippers,27.3
1979-01-01,Seattle SuperSonics,26.8
1979-01-01,Washington Bullets,28.2
1979-01-01,League Average,26.2
1978-01-01,Atlanta Hawks,25.0
1978-01-01,Boston Celtics,29.7
1978-01-01,Buffalo Braves,27.1
1978-01-01,Chicago Bulls,26.5
1978-01-01,Cleveland Cavaliers,27.8
1978-01-01,Denver Nuggets,25.2
1978-01-01,Detroit Pistons,25.9
1978-01-01,Golden State Warriors,26.6
1978-01-01,Houston Rockets,25.4
1978-01-01,Indiana Pacers,24.7
1978-01-01,Kansas City Kings,26.1
1978-01-01,Los Angeles Lakers,25.8
1978-01-01,Milwaukee Bucks,23.8
1978-01-01,New Jersey Nets,25.5
1978-01-01,New Orleans Jazz,26.7
1978-01-01,New York Knicks,27.0
1978-01-01,Philadelphia 76ers,26.2
1978-01-01,Phoenix Suns,25.5
1978-01-01,Portland Trail Blazers,25.3
1978-01-01,San Antonio Spurs,26.9
1978-01-01,Seattle SuperSonics,26.0
1978-01-01,Washington Bullets,27.4
1978-01-01,League Average,26.2
1977-01-01,Atlanta Hawks,24.5
1977-01-01,Boston Celtics,28.7
1977-01-01,Buffalo Braves,25.8
1977-01-01,Chicago Bulls,26.1
1977-01-01,Cleveland Cavaliers,27.4
1977-01-01,Denver Nuggets,27.3
1977-01-01,Detroit Pistons,25.8
1977-01-01,Golden State Warriors,25.8
1977-01-01,Houston Rockets,25.8
1977-01-01,Indiana Pacers,25.6
1977-01-01,Kansas City Kings,25.9
1977-01-01,Los Angeles Lakers,27.2
1977-01-01,Milwaukee Bucks,25.0
1977-01-01,New Orleans Jazz,26.1
1977-01-01,New York Knicks,27.8
1977-01-01,New York Nets,25.8
1977-01-01,Philadelphia 76ers,25.6
1977-01-01,Phoenix Suns,26.6
1977-01-01,Portland Trail Blazers,24.5
1977-01-01,San Antonio Spurs,25.8
1977-01-01,Seattle SuperSonics,25.0
1977-01-01,Washington Bullets,27.4
1977-01-01,League Average,26.1
1976-01-01,Atlanta Hawks,25.9
1976-01-01,Boston Celtics,29.0
1976-01-01,Buffalo Braves,26.2
1976-01-01,Chicago Bulls,27.4
