season,team,age
2020-01-01,Los Angeles Clippers,27.4
2020-01-01,Los Angeles Lakers,29.5
2020-01-01,Memphis Grizzlies,24.1
2020-01-01,Miami Heat,25.9
2020-01-01,Milwaukee Bucks,29.2
2020-01-01,Minnesota Timberwolves,24.8
2020-01-01,New Orleans Pelicans,25.4
2020-01-01,New York Knicks,24.5
2020-01-01,Oklahoma City Thunder,25.5
2020-01-01,Orlando Magic,26.1
2020-01-01,Philadelphia 76ers,26.3
2020-01-01,Phoenix Suns,24.6
2020-01-01,Portland Trail Blazers,27.5
2020-01-01,Sacramento Kings,27.0
2020-01-01,San Antonio Spurs,27.6
2020-01-01,Toronto Raptors,26.6
2020-01-01,Utah Jazz,27.3
2020-01-01,Washington Wizards,25.1
2020-01-01,League Average,26.2
2019-01-01,Atlanta Hawks,25.1
2019-01-01,Boston Celtics,25.7
2019-01-01,Brooklyn Nets,25.4
2019-01-01,Chicago Bulls,24.0
2019-01-01,Charlotte Hornets,26.6
2019-01-01,Cleveland Cavaliers,25.2
2019-01-01,Dallas Mavericks,26.9
2019-01-01,Denver Nuggets,24.9
2019-01-01,Detroit Pistons,26.9
2019-01-01,Golden State Warriors,28.4
2019-01-01,Houston Rockets,29.2
2019-01-01,Indiana Pacers,27.0
2019-01-01,Los Angeles Clippers,27.2
2019-01-01,Los Angeles Lakers,26.2
2019-01-01,Memphis Grizzlies,27.7
2019-01-01,Miami Heat,27.0
2019-01-01,Milwaukee Bucks,26.9
2019-01-01,Minnesota Timberwolves,26.2
2019-01-01,New Orleans Pelicans,25.7
2019-01-01,New York Knicks,23.4
2019-01-01,Oklahoma City Thunder,25.7
2019-01-01,Orlando Magic,25.7
2019-01-01,Philadelphia 76ers,26.4
2019-01-01,Phoenix Suns,24.0
2019-01-01,Portland Trail Blazers,26.2
2019-01-01,Sacramento Kings,24.8
2019-01-01,San Antonio Spurs,28.8
2019-01-01,Toronto Raptors,27.3
2019-01-01,Utah Jazz,27.3
2019-01-01,Washington Wizards,26.5
2019-01-01,League Average,26.4
2018-01-01,Atlanta Hawks,25.4
2018-01-01,Boston Celtics,24.7
2018-01-01,Brooklyn Nets,25.1
2018-01-01,Chicago Bulls,24.4
2018-01-01,Charlotte Hornets,26.6
2018-01-01,Cleveland Cavaliers,30.6
2018-01-01,Dallas Mavericks,27.7
2018-01-01,Denver Nuggets,25.1
2018-01-01,Detroit Pistons,25.9
2018-01-01,Golden State Warriors,28.8
2018-01-01,Houston Rockets,29.8
2018-01-01,Indiana Pacers,26.2
2018-01-01,Los Angeles Clippers,27.0
2018-01-01,Los Angeles Lakers,23.7
2018-01-01,Memphis Grizzlies,26.0
2018-01-01,Miami Heat,26.5
2018-01-01,Milwaukee Bucks,25.9
2018-01-01,Minnesota Timberwolves,27.1
2018-01-01,New Orleans Pelicans,27.6
2018-01-01,New York Knicks,26.3
2018-01-01,Oklahoma City Thunder,27.3
2018-01-01,Orlando Magic,25.6
2018-01-01,Philadelphia 76ers,25.8
2018-01-01,Phoenix Suns,23.7
2018-01-01,Portland Trail Blazers,25.6
2018-01-01,Sacramento Kings,26.4
2018-01-01,San Antonio Spurs,29.3
2018-01-01,Toronto Raptors,25.8
2018-01-01,Utah Jazz,26.7
2018-01-01,Washington Wizards,26.9
2018-01-01,League Average,26.6
2017-01-01,Atlanta Hawks,27.9
2017-01-01,Boston Celtics,25.9
2017-01-01,Brooklyn Nets,26.0
2017-01-01,Chicago Bulls,26.9
2017-01-01,Charlotte Hornets,26.5
2017-01-01,Cleveland Cavaliers,29.2
2017-01-01,Dallas Mavericks,27.6
2017-01-01,Denver Nuggets,25.2
2017-01-01,Detroit Pistons,25.4
2017-01-01,Golden State Warriors,28.2
2017-01-01,Houston Rockets,27.4
2017-01-01,Indiana Pacers,27.0
2017-01-01,Los Angeles Clippers,30.0
2017-01-01,Los Angeles Lakers,25.1
2017-01-01,Memphis Grizzlies,29.5
2017-01-01,Miami Heat,26.5
2017-01-01,Milwaukee Bucks,25.6
2017-01-01,Minnesota Timberwolves,24.0
2017-01-01,New Orleans Pelicans,25.7
2017-01-01,New York Knicks,27.3
2017-01-01,Oklahoma City Thunder,24.7
2017-01-01,Orlando Magic,25.3
2017-01-01,Philadelphia 76ers,24.6
2017-01-01,Phoenix Suns,25.0
2017-01-01,Portland Trail Blazers,24.8
2017-01-01,Sacramento Kings,27.9
2017-01-01,San Antonio Spurs,29.6
2017-01-01,Toronto Raptors,26.1
2017-01-01,Utah Jazz,26.8
2017-01-01,Washington Wizards,26.0
2017-01-01,League Average,26.6
2016-01-01,Atlanta Hawks,28.2
2016-01-01,Boston Celtics,25.2
2016-01-01,Brooklyn Nets,26.9
2016-01-01,Chicago Bulls,27.6
2016-01-01,Charlotte Hornets,26.0
2016-01-01,Cleveland Cavaliers,28.1
2016-01-01,Dallas Mavericks,30.3
2016-01-01,Denver Nuggets,24.7
2016-01-01,Detroit Pistons,25.0
2016-01-01,Golden State Warriors,27.4
2016-01-01,Houston Rockets,27.8
2016-01-01,Indiana Pacers,26.9
2016-01-01,Los Angeles Clippers,29.7
2016-01-01,Los Angeles Lakers,26.5
2016-01-01,Memphis Grizzlies,30.5
2016-01-01,Miami Heat,28.4
2016-01-01,Milwaukee Bucks,23.5
2016-01-01,Minnesota Timberwolves,24.6
2016-01-01,New Orleans Pelicans,26.6
2016-01-01,New York Knicks,27.2
2016-01-01,Oklahoma City Thunder,25.8
2016-01-01,Orlando Magic,23.9
2016-01-01,Philadelphia 76ers,23.3
2016-01-01,Phoenix Suns,26.0
2016-01-01,Portland Trail Blazers,24.3
2016-01-01,Sacramento Kings,26.6
2016-01-01,San Antonio Spurs,30.3
2016-01-01,Toronto Raptors,26.3
2016-01-01,Utah Jazz,24.2
2016-01-01,Washington Wizards,27.3
2016-01-01,League Average,26.8
2015-01-01,Atlanta Hawks,27.8
2015-01-01,Boston Celtics,25.0
2015-01-01,Brooklyn Nets,28.6
2015-01-01,Chicago Bulls,28.8
2015-01-01,Charlotte Hornets,26.0
2015-01-01,Cleveland Cavaliers,26.9
2015-01-01,Dallas Mavericks,29.9
2015-01-01,Denver Nuggets,26.4
2015-01-01,Detroit Pistons,25.9
2015-01-01,Golden State Warriors,26.6
2015-01-01,Houston Rockets,27.6
2015-01-01,Indiana Pacers,28.3
2015-01-01,Los Angeles Clippers,28.8
2015-01-01,Los Angeles Lakers,27.0
2015-01-01,Memphis Grizzlies,29.6
2015-01-01,Miami Heat,28.5
2015-01-01,Milwaukee Bucks,24.6
2015-01-01,Minnesota Timberwolves,24.4
2015-01-01,New Orleans Pelicans,25.3
2015-01-01,New York Knicks,26.9
2015-01-01,Oklahoma City Thunder,25.4
2015-01-01,Orlando Magic,24.3
2015-01-01,Philadelphia 76ers,23.2
2015-01-01,Phoenix Suns,25.7
2015-01-01,Portland Trail Blazers,27.0
2015-01-01,Sacramento Kings,26.0
2015-01-01,San Antonio Spurs,29.8
2015-01-01,Toronto Raptors,26.1
2015-01-01,Utah Jazz,23.4
2015-01-01,Washington Wizards,28.6
2015-01-01,League Average,26.8
2014-01-01,Atlanta Hawks,27.5
2014-01-01,Boston Celtics,25.4
2014-01-01,Brooklyn Nets,30.0
2014-01-01,Charlotte Bobcats,25.5
2014-01-01,Chicago Bulls,28.6
2014-01-01,Cleveland Cavaliers,24.9
2014-01-01,Dallas Mavericks,30.6
2014-01-01,Denver Nuggets,26.0
2014-01-01,Detroit Pistons,24.7
2014-01-01,Golden State Warriors,26.3
2014-01-01,Houston Rockets,25.4
2014-01-01,Indiana Pacers,27.2
2014-01-01,Los Angeles Clippers,28.1
2014-01-01,Los Angeles Lakers,26.8
2014-01-01,Memphis Grizzlies,28.5
2014-01-01,Miami Heat,30.6
2014-01-01,Milwaukee Bucks,24.7
2014-01-01,Minnesota Timberwolves,26.3
2014-01-01,New Orleans Pelicans,24.3
2014-01-01,New York Knicks,28.3
2014-01-01,Oklahoma City Thunder,26.2
2014-01-01,Orlando Magic,24.6
2014-01-01,Philadelphia 76ers,23.4
2014-01-01,Phoenix Suns,26.2
2014-01-01,Portland Trail Blazers,25.8
2014-01-01,Sacramento Kings,24.9
2014-01-01,San Antonio Spurs,28.9
2014-01-01,Toronto Raptors,25.6
2014-01-01,Utah Jazz,24.5
2014-01-01,Washington Wizards,26.3
2014-01-01,League Average,26.6
2013-01-01,Atlanta Hawks,27.1
2013-01-01,Boston Celtics,29.1
2013-01-01,Brooklyn Nets,28.6
2013-01-01,Charlotte Bobcats,24.4
2013-01-01,Chicago Bulls,28.0
2013-01-01,Cleveland Cavaliers,24.1
2013-01-01,Dallas Mavericks,29.5
2013-01-01,Denver Nuggets,26.1
2013-01-01,Detroit Pistons,25.3
2013-01-01,Golden State Warriors,25.3
2013-01-01,Houston Rockets,24.4
2013-01-01,Indiana Pacers,25.7
2013-01-01,Los Angeles Clippers,28.8
2013-01-01,Los Angeles Lakers,30.7
2013-01-01,Memphis Grizzlies,27.0
2013-01-01,Miami Heat,30.3
2013-01-01,Milwaukee Bucks,26.4
2013-01-01,Minnesota Timberwolves,26.4
2013-01-01,New Orleans Hornets,24.0
2013-01-01,New York Knicks,30.2
2013-01-01,Oklahoma City Thunder,26.0
2013-01-01,Orlando Magic,24.6
2013-01-01,Philadelphia 76ers,25.2
2013-01-01,Phoenix Suns,26.9
